序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/27,營利事業捐贈收入,東信科技股份有限公司,28095689,100000,,是,嘉義縣民雄鄉
2,103/11/25,營利事業捐贈收入,鎮企企業有限公司,80239976,100000,,是,嘉義縣太保市
3,103/11/21,營利事業捐贈收入,穎杰鑄造工業股份有限,6657608,100000,,是,嘉義縣太保市
4,103/11/11,營利事業捐贈收入,曜智實業(股)公司,12617727,50000,,是,台中市西屯區
5,103/10/31,營利事業捐贈收入,大友高空實業有限公司,12890112,4000,,否,嘉義縣太保市
6,103/10/30,營利事業捐贈收入,宏晟環保有限公司,54531737,10000,,否,嘉義縣水上鄉
7,103/10/28,營利事業捐贈收入,繼川企業有限公司,84556137,42000,,否,嘉義縣太保市
8,103/10/24,營利事業捐贈收入,永瑞崴國際實業有限公司,16406173,6000,,否,嘉義縣民生南
9,103/10/18,營利事業捐贈收入,彥洲有限公司,86665589,42500,,否,新北市三重區
10,103/10/10,營利事業捐贈收入,鑫旺起重工程行,26498665,12000,,否,嘉義縣太保市
11,103/10/05,營利事業捐贈收入,勤勝開發建設股份有限公司,28105666,10000,,否,嘉義縣上海路
12,103/10/05,營利事業捐贈收入,勤勝開發建設股份有限公司,28105666,42000,,否,嘉義縣上海路
